Player,Free Agent Year,Age,Actual AAV % Cap,Predicted AAV % Cap,Difference,Absolute Difference,Contract Evaluation,Predicted Future VORP,Future VORP Percentile,Future Production Rank,Future Production Tier,Future VORP per 1% Cap,Cap Efficiency Rank,Notes
Jae’Sean Tate,2026,30.0,0.018600000000000002,0.014751817775319358,-0.0038481822246806442,0.0038481822246806442,Fair Value,0.011811422072791178,16.0,90,Below Average,0.006350226920855471,90,
Rayan Rupert,2026,21.0,0.0040999999999999995,0.0003127079789717324,-0.003787292021028267,0.003787292021028267,Fair Value,-0.3525961451369833,3.8,103,Low,-0.8599905978950814,103,
Kevin Huerter,2026,27.0,0.0546,0.051254577116620945,-0.003345422883379058,0.003345422883379058,Fair Value,0.38660952264927784,63.2,40,Average,0.07080760488082012,62,
Brooks Barnhizer,2026,23.0,0.0040999999999999995,0.0010330344114323417,-0.0030669655885676578,0.0030669655885676578,Fair Value,0.022068736042855752,18.9,87,Below Average,0.05382618547037989,68,
Kelly Oubre Jr.,2026,30.0,0.05,0.04698514638955798,-0.003014853610442021,0.003014853610442021,Fair Value,0.10343320442005152,34.9,70,Average,0.020686640884010305,80,
Elijah Harkless,2026,25.0,0.0040999999999999995,0.0011669199272885053,-0.002933080072711494,0.002933080072711494,Fair Value,-0.27360242473826274,4.7,102,Low,-0.6673229871664946,102,
Jevon Carter,2026,30.0,0.0213,0.018983228291632407,-0.0023167717083675925,0.0023167717083675925,Fair Value,0.27910733848721936,50.9,53,Average,0.13103630914892928,41,
Jalen Wilson,2026,25.0,0.0040999999999999995,0.002450622402306188,-0.0016493775976938116,0.0016493775976938116,Fair Value,-0.506922340102675,1.9,105,Low,-1.2363959514699392,104,
Amari Williams,2026,24.0,0.0040999999999999995,0.0029774734018721827,-0.0011225265981278168,0.0011225265981278168,Fair Value,0.05464094552913401,27.4,78,Below Average,0.1332705988515464,40,
Jaylen Clark,2026,24.0,0.0202,0.0191745807830001,-0.0010254192169999003,0.0010254192169999003,Fair Value,0.16433405876037402,37.7,67,Average,0.08135349443582872,57,
Alijah Martin,2026,24.0,0.0144,0.01343019524277288,-0.000969804757227119,0.000969804757227119,Fair Value,0.07561087402189029,31.1,74,Average,0.05250755140409048,69,
Mark Williams,2026,24.0,0.0768,0.07587559127223889,-0.0009244087277611029,0.0009244087277611029,Fair Value,1.2681638952228838,94.3,7,Elite,0.16512550719047966,29,
Jusuf Nurkic,2026,31.0,0.0667,0.0661964777368565,-0.0005035222631434993,0.0005035222631434993,Fair Value,0.49007198557907766,68.9,34,Average,0.07347406080645842,61,
Colin Castleton,2026,25.0,0.0040999999999999995,0.0037683797022610294,-0.0003316202977389701,0.0003316202977389701,Fair Value,-0.016347322124062147,13.2,93,Below Average,-0.03987151737576134,96,
